kata_salah;kata_benar
helpful;berguna
arrogant;arogan
hype;bersemangat
crancky;mudah marah
ayolah;ayo lah
serve;layan
jadilah;menjadi lah
goodd;baik
mantaapp;mantap
foh;pelayan
bessstttt;terbaik
mantulsssss;mantap
dtgnya;datangnya
ky;kayak
tempa;tempat
topeng;masker
our;kami
new;baru
fav;favorit
placeeeeeee;tempat
laffff;suka
goor;bagus
location;tempat
instragramer;bagus untuk dipotret
gawddd;enak
mantaap;mantap
uga;juga
hangup;berkumpul
topssss;mantap
seep;baik
manteebbbbb;mantap
gitu;begitu
udah;sudah
harusnya;seharusnya
